bettercitynews.1.t:0 "The Fall of Cityname1"
bettercitynews.1.d:0 "Cityname1 has fallen to [bettercitynews_fall_of_cityname1_controller.GetAdjective] forces."
bettercitynews.1.a:0 "Damn..."
bettercitynews.1.b:0 "[1.GetName] is ours!"
bettercitynews.1.c:0 "Impressive."
bettercitynews.2.t:0 "The Fall of Cityname2"
bettercitynews.2.d:0 "Cityname2 has fallen to [bettercitynews_fall_of_cityname2_controller.GetAdjective] forces."
bettercitynews.2.a:0 "Damn..."
bettercitynews.2.b:0 "[2.GetName] is ours!"
bettercitynews.2.c:0 "Impressive."
bettercitynews.3.t:0 "The Fall of Cityname3"
bettercitynews.3.d:0 "Cityname3 has fallen to [bettercitynews_fall_of_cityname3_controller.GetAdjective] forces."
bettercitynews.3.a:0 "Damn..."
bettercitynews.3.b:0 "[3.GetName] is ours!"
bettercitynews.3.c:0 "Impressive."
bettercitynews.4.t:0 "The Fall of Cityname4"
bettercitynews.4.d:0 "Cityname4 has fallen to [bettercitynews_fall_of_cityname4_controller.GetAdjective] forces."
bettercitynews.4.a:0 "Damn..."
bettercitynews.4.b:0 "[4.GetName] is ours!"
bettercitynews.4.c:0 "Impressive."
bettercitynews.5.t:0 "The Fall of Cityname5"
bettercitynews.5.d:0 "Cityname5 has fallen to [bettercitynews_fall_of_cityname5_controller.GetAdjective] forces."
bettercitynews.5.a:0 "Damn..."
bettercitynews.5.b:0 "[5.GetName] is ours!"
bettercitynews.5.c:0 "Impressive."
bettercitynews.6.t:0 "The Fall of Cityname6"
bettercitynews.6.d:0 "Cityname6 has fallen to [bettercitynews_fall_of_cityname6_controller.GetAdjective] forces."
bettercitynews.6.a:0 "Damn..."
bettercitynews.6.b:0 "[6.GetName] is ours!"
bettercitynews.6.c:0 "Impressive."
bettercitynews.7.t:0 "The Fall of Cityname7"
bettercitynews.7.d:0 "Cityname7 has fallen to [bettercitynews_fall_of_cityname7_controller.GetAdjective] forces."
bettercitynews.7.a:0 "Damn..."
bettercitynews.7.b:0 "[7.GetName] is ours!"
bettercitynews.7.c:0 "Impressive."
bettercitynews.8.t:0 "The Fall of Cityname8"
bettercitynews.8.d:0 "Cityname8 has fallen to [bettercitynews_fall_of_cityname8_controller.GetAdjective] forces."
bettercitynews.8.a:0 "Damn..."
bettercitynews.8.b:0 "[8.GetName] is ours!"
bettercitynews.8.c:0 "Impressive."
bettercitynews.9.t:0 "The Fall of Cityname9"
bettercitynews.9.d:0 "Cityname9 has fallen to [bettercitynews_fall_of_cityname9_controller.GetAdjective] forces."
bettercitynews.9.a:0 "Damn..."
bettercitynews.9.b:0 "[9.GetName] is ours!"
bettercitynews.9.c:0 "Impressive."
bettercitynews.10.t:0 "The Fall of Cityname10"
bettercitynews.10.d:0 "Cityname10 has fallen to [bettercitynews_fall_of_cityname10_controller.GetAdjective] forces."
bettercitynews.10.a:0 "Damn..."
bettercitynews.10.b:0 "[10.GetName] is ours!"
bettercitynews.10.c:0 "Impressive."
